Encoding,Configuration,solve-CPU,solve-Wall,Pre-CPU,Pre-WALL,Name
kmtotalizer,PAMO+Occur,0.7400000000000002,0.7399999999999998,3.07,3.1,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Proximity,0.7200000000000002,0.75,2.38,2.4,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Natural,0.01,0.39,1.11,1.13,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Occurrence,0.88,0.92,1.8,1.88,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Random_1,0.6,0.64,1.13,1.16,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Random_2,0.67,0.68,1.15,1.17,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Random_3,0.58,0.61,1.14,1.15,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Random_4,0.74,0.72,1.07,1.16,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Random_5,0.62,0.61,1.12,1.15,aes-key-recovery-AES2-50-52-sat
mtotalizer,PAMO+Occur,0.6200000000000001,0.6000000000000001,3.06,3.13,aes-key-recovery-AES2-50-52-sat
mtotalizer,Proximity,0.6599999999999997,0.6099999999999999,2.37,2.44,aes-key-recovery-AES2-50-52-sat
mtotalizer,Natural,0.55,0.54,1.1,1.14,aes-key-recovery-AES2-50-52-sat
mtotalizer,Occurrence,0.68,0.64,1.79,1.88,aes-key-recovery-AES2-50-52-sat
mtotalizer,Random_1,0.69,0.7,1.14,1.18,aes-key-recovery-AES2-50-52-sat
mtotalizer,Random_2,0.02,0.48,1.13,1.16,aes-key-recovery-AES2-50-52-sat
mtotalizer,Random_3,0.65,0.66,1.14,1.17,aes-key-recovery-AES2-50-52-sat
mtotalizer,Random_4,0.62,0.61,1.16,1.18,aes-key-recovery-AES2-50-52-sat
mtotalizer,Random_5,0.61,0.63,1.17,1.18,aes-key-recovery-AES2-50-52-sat
cardnetwork,PAMO+Occur,0.6200000000000001,0.6100000000000003,3.08,3.11,aes-key-recovery-AES2-50-52-sat
cardnetwork,Proximity,0.6000000000000001,0.5999999999999996,2.38,2.41,aes-key-recovery-AES2-50-52-sat
cardnetwork,Natural,0.05,0.43,1.07,1.13,aes-key-recovery-AES2-50-52-sat
cardnetwork,Occurrence,0.08,0.22,1.79,1.88,aes-key-recovery-AES2-50-52-sat
cardnetwork,Random_1,0.74,0.7,1.07,1.16,aes-key-recovery-AES2-50-52-sat
cardnetwork,Random_2,0.02,0.43,1.13,1.16,aes-key-recovery-AES2-50-52-sat
cardnetwork,Random_3,0.72,0.67,1.08,1.16,aes-key-recovery-AES2-50-52-sat
cardnetwork,Random_4,0.73,0.74,1.07,1.16,aes-key-recovery-AES2-50-52-sat
cardnetwork,Random_5,0.7,0.65,1.06,1.16,aes-key-recovery-AES2-50-52-sat
sortnetwork,PAMO+Occur,0.71,0.7000000000000002,3.06,3.13,aes-key-recovery-AES2-50-52-sat
sortnetwork,Proximity,0.6099999999999999,0.6800000000000002,2.44,2.46,aes-key-recovery-AES2-50-52-sat
sortnetwork,Natural,0.37,0.3,1.07,1.17,aes-key-recovery-AES2-50-52-sat
sortnetwork,Occurrence,0.02,0.34,1.89,1.91,aes-key-recovery-AES2-50-52-sat
sortnetwork,Random_1,0.59,0.56,1.12,1.21,aes-key-recovery-AES2-50-52-sat
sortnetwork,Random_2,0.89,0.84,1.13,1.21,aes-key-recovery-AES2-50-52-sat
sortnetwork,Random_3,0.71,0.72,1.13,1.21,aes-key-recovery-AES2-50-52-sat
sortnetwork,Random_4,0.8,0.79,1.16,1.21,aes-key-recovery-AES2-50-52-sat
sortnetwork,Random_5,0.51,0.54,1.16,1.21,aes-key-recovery-AES2-50-52-sat
sequential,PAMO+Occur,0.6800000000000002,0.6499999999999999,3.0,3.08,aes-key-recovery-AES2-50-52-sat
sequential,Proximity,0.6599999999999997,0.6299999999999999,2.37,2.43,aes-key-recovery-AES2-50-52-sat
sequential,Natural,0.02,0.34,1.1,1.13,aes-key-recovery-AES2-50-52-sat
