Encoding,Configuration,solve-CPU,solve-Wall,Pre-CPU,Pre-WALL,Name
kmtotalizer,PAMO+Occur,0.7400000000000002,0.7399999999999998,3.07,3.1,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Natural+PAMO,0.3799999999999999,0.3999999999999999,1.29,1.32,aes-key-recovery-AES2-50-52-sat
kmtotalizer,PAMO,0.81,0.73,2.96,3.09,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Proximity,0.7200000000000002,0.75,2.38,2.4,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Graph,0.5900000000000034,0.5899999999999892,113.59,113.68,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Natural,0.01,0.39,1.11,1.13,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Occurrence,0.88,0.92,1.8,1.88,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Random_1,0.6,0.64,1.13,1.16,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Random_2,0.67,0.68,1.15,1.17,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Random_3,0.58,0.61,1.14,1.15,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Random_4,0.74,0.72,1.07,1.16,aes-key-recovery-AES2-50-52-sat
kmtotalizer,Random_5,0.62,0.61,1.12,1.15,aes-key-recovery-AES2-50-52-sat
kmtotalizer,PAMO+Occur,0.04999999999999982,0.25,3.02,3.08,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,Natural+PAMO,0.040000000000000036,0.22999999999999998,1.24,1.29,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,PAMO,0.010000000000000231,0.25,3.11,3.13,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,Proximity,0.040000000000000036,0.25,2.37,2.41,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,Graph,0.0799999999999983,0.28000000000000114,114.0,114.11,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,Natural,0.01,0.24,1.1,1.11,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,Occurrence,0.3,0.33,1.84,1.86,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,Random_1,0.09,0.25,1.07,1.17,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,Random_2,0.06,0.34,1.07,1.14,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,Random_3,0.23,0.2,1.07,1.15,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,Random_4,0.21,0.21,1.08,1.17,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,Random_5,0.23,0.24,1.07,1.15,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,PAMO+Occur,3.2600000000000002,3.23,2.94,3.06,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Natural+PAMO,1.9899999999999998,2.01,1.33,1.35,aes-key-recovery-AES2-60-56-sat
kmtotalizer,PAMO,3.2100000000000004,3.2399999999999998,3.07,3.1,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Proximity,3.2100000000000004,3.21,2.32,2.42,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Graph,3.1599999999999966,3.1300000000000097,114.54,114.63,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Natural,1.96,2.01,1.1,1.13,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Occurrence,2.68,2.67,1.83,1.86,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Random_1,2.95,2.96,1.14,1.16,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Random_2,4.74,4.77,1.13,1.15,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Random_3,3.71,3.74,1.14,1.16,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Random_4,2.99,3.03,1.11,1.15,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Random_5,3.08,3.13,1.12,1.16,aes-key-recovery-AES2-60-56-sat
kmtotalizer,PAMO+Occur,1.6900000000000004,1.6799999999999997,3.0,3.08,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,Natural+PAMO,1.49,1.5099999999999998,1.24,1.31,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,PAMO,1.6500000000000004,1.67,3.04,3.08,aes-key-recovery-AES2-60-56-unsat
